City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Maceio,-9.6658,-35.7353,80.04,89,40,8.05,BR,2021-09-25 23:27:17
1,Alofi,-19.0595,-169.9187,76.89,57,9,6.91,NU,2021-09-25 23:27:13
2,San Juan,-31.5375,-68.5364,75.72,14,0,9.89,AR,2021-09-25 23:26:53
3,Busselton,-33.65,115.3333,51.08,89,73,3.65,AU,2021-09-25 23:25:32
4,Lander,42.833,-108.7307,83.21,15,1,5.75,US,2021-09-25 23:26:29
5,Saint-Philippe,-21.3585,55.7679,69.39,84,42,14.36,RE,2021-09-25 23:25:50
6,Halifax,44.6453,-63.5724,67.89,94,100,1.99,CA,2021-09-25 23:25:09
7,Georgetown,5.4112,100.3354,79.9,87,20,3.44,MY,2021-09-25 23:22:08
8,Arraial Do Cabo,-22.9661,-42.0278,70.66,77,38,27.89,BR,2021-09-25 23:26:55
9,Hobart,-42.8794,147.3294,52.27,63,20,1.01,AU,2021-09-25 23:25:31
10,Cherskiy,68.75,161.3,32.38,97,100,14.05,RU,2021-09-25 23:26:00
11,Upernavik,72.7868,-56.1549,20.21,69,1,5.21,GL,2021-09-25 23:26:08
12,Mariinsk,56.2139,87.7472,37.13,97,100,8.19,RU,2021-09-25 23:27:46
13,Agadez,19.75,10.25,82.71,15,3,10.78,NE,2021-09-25 23:27:46
14,Bredasdorp,-34.5322,20.0403,60.12,77,15,9.22,ZA,2021-09-25 23:25:41
15,Orlik,52.5178,99.825,28.04,92,100,1.54,RU,2021-09-25 23:27:46
16,Marawi,7.9986,124.2928,68.65,85,95,1.97,PH,2021-09-25 23:26:37
17,Albany,42.6001,-73.9662,64.67,80,95,1.92,US,2021-09-25 23:25:34
18,Mahebourg,-20.4081,57.7,71.89,78,40,12.66,MU,2021-09-25 23:27:08
19,Camacha,33.0833,-16.3333,67.42,73,40,0.0,PT,2021-09-25 23:25:32
20,Buchanan,5.8808,-10.0467,77.92,87,100,6.87,LR,2021-09-25 23:27:47
21,Yellowknife,62.456,-114.3525,46.42,80,75,4.0,CA,2021-09-25 23:25:20
22,Boffa,10.1667,-14.0333,74.5,90,98,1.5,GN,2021-09-25 23:26:49
23,Shiyan,32.6475,110.7781,67.1,96,100,3.94,CN,2021-09-25 23:27:47
24,Huangmei,30.1924,116.025,79.3,81,89,2.48,CN,2021-09-25 23:27:47
25,Rikitea,-23.1203,-134.9692,73.99,76,50,14.9,PF,2021-09-25 23:23:28
26,New Norfolk,-42.7826,147.0587,51.93,60,24,1.01,AU,2021-09-25 23:26:31
27,Nome,64.5011,-165.4064,44.67,71,75,14.97,US,2021-09-25 23:27:48
28,Taos,36.4072,-105.5731,79.99,19,1,8.01,US,2021-09-25 23:27:48
29,Ponta Do Sol,32.6667,-17.1,70.43,72,74,4.29,PT,2021-09-25 23:25:43
30,Jamestown,42.097,-79.2353,60.39,87,90,8.01,US,2021-09-25 23:25:29
31,Rabo De Peixe,37.8,-25.5833,71.28,80,75,9.22,PT,2021-09-25 23:27:49
32,Westport,41.1415,-73.3579,70.05,80,27,2.82,US,2021-09-25 23:25:50
33,Ixtapa,20.7,-105.2,86.23,79,44,3.0,MX,2021-09-25 23:27:49
34,Bluff,-46.6,168.3333,46.8,63,43,14.0,NZ,2021-09-25 23:25:26
35,Punta Arenas,-53.15,-70.9167,41.11,70,40,18.41,CL,2021-09-25 23:21:12
36,Bathsheba,13.2167,-59.5167,81.21,89,40,6.91,BB,2021-09-25 23:27:50
37,Matara,5.9485,80.5353,78.21,88,75,12.37,LK,2021-09-25 23:27:50
38,Honiara,-9.4333,159.95,86.31,66,21,5.01,SB,2021-09-25 23:27:50
39,Port Alfred,-33.5906,26.891,62.02,64,89,11.34,ZA,2021-09-25 23:26:03
40,Dharchula,29.85,80.5333,66.49,83,15,4.83,IN,2021-09-25 23:27:51
41,Hilo,19.7297,-155.09,83.93,76,20,14.97,US,2021-09-25 23:25:23
42,Muros,42.7762,-9.0603,64.99,92,13,6.15,ES,2021-09-25 23:26:36
43,Ushuaia,-54.8,-68.3,38.86,75,75,25.32,AR,2021-09-25 23:22:35
44,Masallatah,32.6167,14.0,72.16,64,0,15.08,LY,2021-09-25 23:27:51
45,Ribeira Grande,38.5167,-28.7,71.6,83,100,7.14,PT,2021-09-25 23:26:13
46,Kloulklubed,7.0419,134.2556,82.9,76,77,12.37,PW,2021-09-25 23:27:51
47,Saldanha,-33.0117,17.9442,60.85,94,87,2.55,ZA,2021-09-25 23:25:25
48,Vaini,-21.2,-175.2,75.36,88,40,10.36,TO,2021-09-25 23:25:31
49,Chokurdakh,70.6333,147.9167,33.13,98,100,11.9,RU,2021-09-25 23:25:27
50,Lasa,46.6166,10.7002,61.68,96,79,2.57,IT,2021-09-25 23:27:27
51,Opunake,-39.4556,173.8583,57.34,74,46,14.03,NZ,2021-09-25 23:27:52
52,Port Hardy,50.6996,-127.4199,53.78,94,90,9.22,CA,2021-09-25 23:25:27
53,San Jose,37.3394,-121.895,82.89,57,90,10.36,US,2021-09-25 23:25:19
54,Esperance,-33.8667,121.9,55.24,70,72,18.84,AU,2021-09-25 23:26:37
55,Atikokan,48.7555,-91.6216,56.25,54,94,5.82,CA,2021-09-25 23:27:52
56,Mataura,-46.1927,168.8643,46.47,90,47,6.8,NZ,2021-09-25 23:25:20
57,San Javier,37.8063,-0.8374,76.21,88,6,1.99,ES,2021-09-25 23:27:53
58,Qinggang,46.6833,126.0833,54.36,95,78,5.44,CN,2021-09-25 23:27:53
59,Kapaa,22.0752,-159.319,85.98,71,75,3.0,US,2021-09-25 23:26:30
60,Bethel,41.3712,-73.414,67.66,86,1,3.44,US,2021-09-25 23:26:21
61,Mar Del Plata,-38.0023,-57.5575,59.09,64,40,3.0,AR,2021-09-25 23:25:55
62,Qaanaaq,77.484,-69.3632,21.43,71,100,6.51,GL,2021-09-25 23:25:33
63,Castro,-24.7911,-50.0119,62.04,82,44,3.44,BR,2021-09-25 23:25:47
