City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bethel,41.3712,-73.414,61.48,92,1,0.0,US,2021-09-25 04:31:49
1,Saint-Joseph,-21.3667,55.6167,74.21,77,15,14.5,RE,2021-09-25 04:32:35
2,Hilo,19.7297,-155.09,76.28,83,90,8.05,US,2021-09-25 04:28:02
3,Mehamn,71.0357,27.8492,45.01,92,99,8.32,NO,2021-09-25 04:32:36
4,Avarua,-21.2078,-159.775,75.25,64,97,9.22,CK,2021-09-25 04:32:36
5,Shimoda,34.6667,138.95,75.56,74,45,15.9,JP,2021-09-25 04:32:36
6,Hermanus,-34.4187,19.2345,52.9,78,100,5.03,ZA,2021-09-25 04:32:37
7,Cayenne,4.9333,-52.3333,82.09,82,20,1.01,GF,2021-09-25 04:32:37
8,Ushuaia,-54.8,-68.3,37.06,81,75,13.8,AR,2021-09-25 04:31:30
9,Carnarvon,-24.8667,113.6333,73.47,60,0,16.11,AU,2021-09-25 04:32:37
10,Tasiilaq,65.6145,-37.6368,25.72,71,89,8.99,GL,2021-09-25 04:32:38
11,Sungaipenuh,-2.0833,101.3833,77.76,72,67,1.03,ID,2021-09-25 04:32:38
12,High Level,58.5169,-117.136,44.71,93,40,2.3,CA,2021-09-25 04:32:38
13,Kurchum,48.5722,83.6542,46.33,39,25,6.26,KZ,2021-09-25 04:32:38
14,Senador Guiomard,-10.1522,-67.7392,71.35,43,76,1.99,BR,2021-09-25 04:32:39
15,Yellowknife,62.456,-114.3525,46.42,99,40,11.5,CA,2021-09-25 04:32:39
16,Upernavik,72.7868,-56.1549,20.64,81,40,5.55,GL,2021-09-25 04:32:39
17,Tura,25.5198,90.2201,88.88,62,7,2.1,IN,2021-09-25 04:32:39
18,Port Alfred,-33.5906,26.891,60.66,76,73,10.47,ZA,2021-09-25 04:32:40
19,Barrow,71.2906,-156.7887,30.22,86,90,8.05,US,2021-09-25 04:30:04
20,Waingapu,-9.6567,120.2641,85.55,51,19,12.33,ID,2021-09-25 04:32:40
21,Monrovia,6.3005,-10.7969,74.97,86,96,7.0,LR,2021-09-25 04:32:40
22,Port Elizabeth,-33.918,25.5701,52.09,87,0,5.75,ZA,2021-09-25 04:32:41
23,Mataura,-46.1927,168.8643,45.48,74,72,10.02,NZ,2021-09-25 04:32:41
24,Saskylakh,71.9167,114.0833,34.47,84,100,15.84,RU,2021-09-25 04:32:41
25,Skelleftea,64.7507,20.9528,43.16,69,98,4.61,SE,2021-09-25 04:32:41
26,Komsomolskiy,40.4272,71.7189,74.12,28,0,0.0,UZ,2021-09-25 04:32:42
27,Sobolevo,54.4299,31.8996,45.14,97,100,6.29,RU,2021-09-25 04:32:42
28,Raudeberg,61.9875,5.1352,49.19,95,90,4.0,NO,2021-09-25 04:32:42
29,Beringovskiy,63.05,179.3167,33.21,84,100,21.09,RU,2021-09-25 04:32:43
30,Matale,7.4721,80.6234,83.75,62,82,7.0,LK,2021-09-25 04:32:43
31,Provideniya,64.3833,-173.3,32.56,91,100,14.79,RU,2021-09-25 04:32:43
32,Esmeraldas,-19.7625,-44.3139,66.51,65,81,7.74,BR,2021-09-25 04:32:43
33,Rikitea,-23.1203,-134.9692,73.63,78,100,12.44,PF,2021-09-25 04:32:44
34,Gat,31.61,34.7642,71.4,57,96,3.2,IL,2021-09-25 04:29:02
35,Punta Arenas,-53.15,-70.9167,37.51,87,20,11.5,CL,2021-09-25 04:30:35
36,Brae,60.3964,-1.353,51.71,78,86,5.93,GB,2021-09-25 04:32:44
37,West Lafayette,40.4259,-86.9081,67.1,58,1,6.91,US,2021-09-25 04:28:35
38,Missoula,47.0166,-113.8009,50.56,67,18,1.25,US,2021-09-25 04:32:44
39,Busselton,-33.65,115.3333,64.04,55,6,15.46,AU,2021-09-25 04:28:27
40,Cape Town,-33.9258,18.4232,53.11,91,0,10.36,ZA,2021-09-25 04:29:03
41,Mahebourg,-20.4081,57.7,75.25,78,75,16.11,MU,2021-09-25 04:32:45
42,Cherskiy,68.75,161.3,35.98,93,100,16.64,RU,2021-09-25 04:32:45
43,Virginia Beach,36.8529,-75.978,69.82,75,75,0.0,US,2021-09-25 04:32:35
